year,race,gestational_age_group,mother_age_group,births,deaths,mortality_rate
2003,Non-Hispanic Black,<28 weeks,Under 20,367,151,411.44414168937334
2003,Non-Hispanic Black,<28 weeks,20-24,1140,460,403.50877192982455
2003,Non-Hispanic Black,<28 weeks,25-29,1372,549,400.1457725947522
2003,Non-Hispanic Black,<28 weeks,30-34,1307,554,423.87146136189745
2003,Non-Hispanic Black,<28 weeks,35-39,844,343,406.3981042654028
2003,Non-Hispanic Black,<28 weeks,40 and over,714,279,390.7563025210084
2003,Non-Hispanic Black,28-31 weeks,Under 20,455,28,61.53846153846154
2003,Non-Hispanic Black,28-31 weeks,20-24,1458,85,58.29903978052126
2003,Non-Hispanic Black,28-31 weeks,25-29,1381,64,46.34322954380883
2003,Non-Hispanic Black,28-31 weeks,30-34,1295,61,47.10424710424711
2003,Non-Hispanic Black,28-31 weeks,35-39,927,48,51.77993527508091
2003,Non-Hispanic Black,28-31 weeks,40 and over,829,46,55.488540410132686
2003,Non-Hispanic Black,32-33 weeks,Under 20,556,6,10.79136690647482
2003,Non-Hispanic Black,32-33 weeks,20-24,1821,25,13.728720483250962
2003,Non-Hispanic Black,32-33 weeks,25-29,1781,23,12.91409320606401
2003,Non-Hispanic Black,32-33 weeks,30-34,1524,22,14.435695538057743
2003,Non-Hispanic Black,32-33 weeks,35-39,1146,13,11.343804537521814
2003,Non-Hispanic Black,32-33 weeks,40 and over,1018,22,21.611001964636543
2003,Non-Hispanic Black,34-36 weeks,Under 20,2682,24,8.94854586129754
2003,Non-Hispanic Black,34-36 weeks,20-24,9312,88,9.450171821305842
2003,Non-Hispanic Black,34-36 weeks,25-29,9380,79,8.422174840085287
2003,Non-Hispanic Black,34-36 weeks,30-34,8207,48,5.848665773120507
2003,Non-Hispanic Black,34-36 weeks,35-39,5650,38,6.725663716814159
2003,Non-Hispanic Black,34-36 weeks,40 and over,4829,26,5.384137502588528
2003,Non-Hispanic Black,37-38 weeks,Under 20,5969,37,6.198693248450327
2003,Non-Hispanic Black,37-38 weeks,20-24,23675,101,4.26610348468849
2003,Non-Hispanic Black,37-38 weeks,25-29,25018,99,3.9571508513870013
2003,Non-Hispanic Black,37-38 weeks,30-34,22212,59,2.656221862056546
2003,Non-Hispanic Black,37-38 weeks,35-39,14947,36,2.4085100689101493
2003,Non-Hispanic Black,37-38 weeks,40 and over,12182,44,3.6118863897553766
2003,Non-Hispanic Black,39-41 weeks,Under 20,11530,45,3.9028620988725065
2003,Non-Hispanic Black,39-41 weeks,20-24,43270,154,3.5590478391495264
2003,Non-Hispanic Black,39-41 weeks,25-29,43363,125,2.882641883633512
2003,Non-Hispanic Black,39-41 weeks,30-34,38421,83,2.160276931886208
2003,Non-Hispanic Black,39-41 weeks,35-39,24990,53,2.1208483393357342
2003,Non-Hispanic Black,39-41 weeks,40 and over,19619,54,2.7524338651307407
2003,Non-Hispanic Black,42+ weeks,Under 20,1504,9,5.98404255319149
2003,Non-Hispanic Black,42+ weeks,20-24,5390,21,3.896103896103896
2003,Non-Hispanic Black,42+ weeks,25-29,5228,25,4.781943381790359
2003,Non-Hispanic Black,42+ weeks,30-34,4375,12,2.742857142857143
2003,Non-Hispanic Black,42+ weeks,35-39,2793,11,3.938417472252059
2003,Non-Hispanic Black,42+ weeks,40 and over,2197,8,3.6413290851160673
2003,Non-Hispanic White,<28 weeks,Under 20,371,175,471.6981132075472
2003,Non-Hispanic White,<28 weeks,20-24,1638,717,437.72893772893775
2003,Non-Hispanic White,<28 weeks,25-29,2331,931,399.3993993993994
2003,Non-Hispanic White,<28 weeks,30-34,2838,1236,435.51797040169134
2003,Non-Hispanic White,<28 weeks,35-39,1780,732,411.23595505617976
